Global Code;Global Name;Region Code;Region;Sub-region Code;Sub-region Name;Intermediate Region Code;Intermediate Region Name;Country or Area;M49 Code;ISO-alpha2 Code;ISO-alpha3 Code;Least Developed Countries (LDC);Land Locked Developing Countries (LLDC);Small Island Developing States (SIDS),
001;World;142;Asia;143;Central Asia;;;Kazakhstan;398;KZ;KAZ;;x;,
001;World;142;Asia;143;Central Asia;;;Kyrgyzstan;417;KG;KGZ;;x;,
001;World;142;Asia;143;Central Asia;;;Tajikistan;762;TJ;TJK;;x;,
001;World;142;Asia;143;Central Asia;;;Turkmenistan;795;TM;TKM;;x;,
001;World;142;Asia;143;Central Asia;;;Uzbekistan;860;UZ;UZB;;x;,
001;World;142;Asia;030;Eastern Asia;;;China;156;CN;CHN;;;,
001;World;142;Asia;030;Eastern Asia;;;China, Hong Kong Special Administrative Region;344;HK;HKG;;;
001;World;142;Asia;030;Eastern Asia;;;China, Macao Special Administrative Region;446;MO;MAC;;;
001;World;142;Asia;030;Eastern Asia;;;Democratic People's Republic of Korea;408;KP;PRK;;;,
001;World;142;Asia;030;Eastern Asia;;;Japan;392;JP;JPN;;;,
001;World;142;Asia;030;Eastern Asia;;;Mongolia;496;MN;MNG;;x;,
001;World;142;Asia;030;Eastern Asia;;;Republic of Korea;410;KR;KOR;;;,
001;World;142;Asia;035;South-eastern Asia;;;Brunei Darussalam;096;BN;BRN;;;,
001;World;142;Asia;035;South-eastern Asia;;;Cambodia;116;KH;KHM;x;;,
001;World;142;Asia;035;South-eastern Asia;;;Indonesia;360;ID;IDN;;;,
001;World;142;Asia;035;South-eastern Asia;;;Lao People's Democratic Republic;418;LA;LAO;x;x;,
001;World;142;Asia;035;South-eastern Asia;;;Malaysia;458;MY;MYS;;;,
001;World;142;Asia;035;South-eastern Asia;;;Myanmar;104;MM;MMR;x;;,
001;World;142;Asia;035;South-eastern Asia;;;Philippines;608;PH;PHL;;;,
001;World;142;Asia;035;South-eastern Asia;;;Singapore;702;SG;SGP;;;x,
001;World;142;Asia;035;South-eastern Asia;;;Thailand;764;TH;THA;;;,
001;World;142;Asia;035;South-eastern Asia;;;Timor-Leste;626;TL;TLS;x;;x,
001;World;142;Asia;035;South-eastern Asia;;;Viet Nam;704;VN;VNM;;;,
001;World;142;Asia;034;Southern Asia;;;Afghanistan;004;AF;AFG;x;x;,
001;World;142;Asia;034;Southern Asia;;;Bangladesh;050;BD;BGD;x;;,
001;World;142;Asia;034;Southern Asia;;;Bhutan;064;BT;BTN;x;x;,
001;World;142;Asia;034;Southern Asia;;;India;356;IN;IND;;;,
001;World;142;Asia;034;Southern Asia;;;Iran (Islamic Republic of);364;IR;IRN;;;,
001;World;142;Asia;034;Southern Asia;;;Maldives;462;MV;MDV;;;x,
001;World;142;Asia;034;Southern Asia;;;Nepal;524;NP;NPL;x;x;,
001;World;142;Asia;034;Southern Asia;;;Pakistan;586;PK;PAK;;;,
001;World;142;Asia;034;Southern Asia;;;Sri Lanka;144;LK;LKA;;;,
001;World;142;Asia;145;Western Asia;;;Armenia;051;AM;ARM;;x;,
001;World;142;Asia;145;Western Asia;;;Azerbaijan;031;AZ;AZE;;x;,
001;World;142;Asia;145;Western Asia;;;Bahrain;048;BH;BHR;;;,
001;World;142;Asia;145;Western Asia;;;Cyprus;196;CY;CYP;;;,
001;World;142;Asia;145;Western Asia;;;Georgia;268;GE;GEO;;;,
001;World;142;Asia;145;Western Asia;;;Iraq;368;IQ;IRQ;;;,
001;World;142;Asia;145;Western Asia;;;Israel;376;IL;ISR;;;,
001;World;142;Asia;145;Western Asia;;;Jordan;400;JO;JOR;;;,
001;World;142;Asia;145;Western Asia;;;Kuwait;414;KW;KWT;;;,
001;World;142;Asia;145;Western Asia;;;Lebanon;422;LB;LBN;;;,
001;World;142;Asia;145;Western Asia;;;Oman;512;OM;OMN;;;,
001;World;142;Asia;145;Western Asia;;;Qatar;634;QA;QAT;;;,
001;World;142;Asia;145;Western Asia;;;Saudi Arabia;682;SA;SAU;;;,
001;World;142;Asia;145;Western Asia;;;State of Palestine;275;PS;PSE;;;,
001;World;142;Asia;145;Western Asia;;;Syrian Arab Republic;760;SY;SYR;;;,
001;World;142;Asia;145;Western Asia;;;Türkiye;792;TR;TUR;;;,
001;World;142;Asia;145;Western Asia;;;United Arab Emirates;784;AE;ARE;;;,
001;World;150;Asia;151;Central Asia;;;Russian Federation;643;RU;RUS;;;,
001;World;142;Asia;145;Western Asia;;;Yemen;887;YE;YEM;x;;,
